Business,Title,First Name,Last Name,Date Of Birth,Address Line 1,Address Line 2,Suburb,City,Post Code,Home Number,Fax Number,Work Number,Mobile Number,Other Number,Notes
ABC Imports,Mr.,John,SMITH,1/13/69,23 Wilson St,,Newton,Auckland,1010,09 559-4886,,,64292267751,,"A little bit deaf, speak clearly"
,Mr,Carl,Jones,07/09/1988,111 Bakers Ave,,Grey Lynn,Auckland,1012,582-4491,,(09) 382-8858,,,
MT ALBERT PHARMACY,Dr,Jenna,Bates,11/02/1972,49 Hadsfield Cres,,Mt Albert,Auckland,1025,482-6975,482-6976,,256648795,,
,Ms,lucy,farange,03/08/1983,15a Andrews lane,,Grey Lynn,Auckland,1012,,,6425325474,6425325474,,; DROP TABLE `contact`;
A.N.Z.A.C Associates,,,,,73 Phillips Road,,mt albert,auckland,1025,555 9462,,,,,
,,Justin,Smith-Wesson,02/02/1995,31 Futures Cres,,Newton,Auckland,1010,,,,2751353288,,
,Mrs,Sarah,O'malley,3/21/1951,5 Queens Road,,Grey Lynn,Auckland,1012,64245756955,,,64245756955,,
p.p.p pet product providers,mr,michael,manly,10/01/1970,54 King Street,,Mt Albert,Auckland,1025,,,,,,Hi vet clinic you are my favourite clinic 😊 kind regards michael manly (PPP)
,,Jason,,5/24/1993,Unit 9,87 Georges Road,Grey Lynn,auckland,1012,(09)5132545,,,,,
,,Albert Grant,,6/27/1986,74 House Place,,mt albert,Auckland,1025,,,2745621568,,,
,,Anna,Grant,10/26/1978,74 House Place,,Newton,Auckland,1010,,,,,,
,,alfred,,12/20/1973,5,Living Road,Grey Lynn,Auckland,1012,,,,,,
Guide Dog Services,,,,,65 Flemming Way,,Mt Albert,auckland,1025,,09-254-1159,09-254-1158,,642545678,
,,lisa,,8/14/2001,47 Road Road,,Grey Lynn,Auckland,1012,,,,,,
,,Alan,Fields,9/20/1960,,10a fortitude way,mt albert,Auckland,1025,,,,,,"""CONTACT OWES A LOT OF MONEY! ON A CREDIT STOP (don't let them book any new appointments before paying off account)"""
